dataset,technique,model,f1_score,processing_time,memory_usage
df_breast,IncPCA,Tree,0.8473482150073274,0.13330554962158203,208.59765625
df_breast,IncPCA,KNN,0.9001974426435122,0.20102953910827637,250.9228515625
df_breast,IncPCA,LogReg,0.9049188277997015,0.13294672966003418,318.8974609375
df_breast,IncPCA,GBC,0.8656714179216614,0.9509038925170898,212.4296875
df_breast,NMF,SVM,0.6469767770164799,0.28539443016052246,440.365234375
df_breast,NMF,MLP,0.7632846053029623,3.5995869636535645,571.3310546875
df_breast,NMF,Tree,0.6892506459572485,0.3018372058868408,442.7724609375
df_breast,NMF,KNN,0.4685260587223839,0.36829686164855957,485.9697265625
df_breast,NMF,LogReg,0.6185550255374866,0.31639528274536133,754.4755859375
df_breast,NMF,GBC,0.8309946832856744,2.950202703475952,447.365234375
df_breast,ICA,SVM,0.955782632754176,0.30092644691467285,278.20703125
df_breast,ICA,MLP,0.9664983464328746,3.534816265106201,409.716796875
df_breast,ICA,Tree,0.8492181420540008,0.36853837966918945,281.0673828125
df_breast,ICA,KNN,0.8800931646363281,0.3828721046447754,323.8701171875
df_breast,ICA,LogReg,0.9627988404480391,0.3190791606903076,645.5537109375
df_breast,ICA,GBC,0.9255699869978338,3.2482004165649414,284.5068359375
df_breast,LDA,SVM,0.9662445806150165,0.1016075611114502,204.859375
df_breast,LDA,MLP,0.9715717997801032,2.5156126022338867,209.537109375
df_breast,LDA,Tree,0.9629114832377222,0.09954524040222168,207.7177734375
df_breast,LDA,KNN,0.9682315841228204,0.17969155311584473,250.9931640625
df_breast,LDA,LogReg,0.9679843598178894,0.11428117752075195,317.7783203125
df_breast,LDA,GBC,0.9629114832377222,0.8979618549346924,211.2265625
df_creditcard,none,SVM,0.9986296629941815,10.500659704208374,24740.05859375
df_creditcard,none,MLP,0.9994627058477092,34.6026086807251,24742.4833984375
df_creditcard,none,Tree,0.999095065135991,9.783615827560425,24742.494140625
df_creditcard,none,KNN,0.9993192965399125,9.050286531448364,24873.189453125
df_creditcard,none,LogReg,0.9983517260410023,1.634828805923462,74979.6845703125
df_creditcard,none,GBC,0.9986738521309795,421.1755738258362,24746.9833984375
df_creditcard,PCA,SVM,0.9955622434606232,1.0061538219451904,13414.01953125
df_creditcard,PCA,MLP,0.9955622434606232,14.62035608291626,13415.8173828125
df_creditcard,PCA,Tree,0.9942805173384723,0.6768832206726074,13417.0009765625
df_creditcard,PCA,KNN,0.9955422414969325,6.39492130279541,13459.75
df_creditcard,PCA,LogReg,0.9955622434606232,0.41986703872680664,17852.63671875
df_creditcard,PCA,GBC,0.9944810035097216,18.788845777511597,13420.671875
df_creditcard,IncPCA,SVM,0.9955622434606232,1.9337618350982666,13417.6796875
df_creditcard,IncPCA,MLP,0.9955622434606232,16.43589496612549,13420.40625
df_creditcard,IncPCA,Tree,0.9942805173384723,1.606170892715454,13418.404296875
df_creditcard,IncPCA,KNN,0.9955422414969325,7.233958959579468,13459.6279296875
df_creditcard,IncPCA,LogReg,0.9955622434606232,1.3690471649169922,17855.607421875
df_creditcard,IncPCA,GBC,0.9944409273873063,19.890487670898438,13422.283203125
df_creditcard,NMF,SVM,0.9986296629941815,10.333739995956421,24740.7802734375
df_creditcard,NMF,MLP,0.9993923738371402,49.02623701095581,24742.8193359375
df_creditcard,NMF,Tree,0.9991204490754153,9.819155931472778,24742.9287109375
df_creditcard,NMF,KNN,0.9993192965399125,9.083975076675415,24873.2841796875
df_creditcard,NMF,LogReg,0.9983517260410023,1.6019823551177979,74979.865234375
df_creditcard,NMF,GBC,0.9984779270768419,427.6306257247925,24747.056640625
df_creditcard,ICA,SVM,0.9986069798235768,10.036792278289795,18967.3369140625
df_creditcard,ICA,MLP,0.9993437333670883,48.54144906997681,18969.83203125
df_creditcard,ICA,Tree,0.9991737646744847,8.110462188720703,18969.7177734375
df_creditcard,ICA,KNN,0.999319866617902,29.599313020706177,18981.9013671875
df_creditcard,ICA,LogReg,0.9981989818169834,4.814034700393677,24295.4501953125
df_creditcard,ICA,GBC,0.998953808713182,230.66427040100098,18973.751953125
df_creditcard,LDA,SVM,0.998307423906826,1.7456295490264893,13414.361328125
df_creditcard,LDA,MLP,0.9988307511875097,20.144660711288452,13418.3037109375
df_creditcard,LDA,Tree,0.9993934911948237,0.6210281848907471,13417.103515625
df_creditcard,LDA,KNN,0.9993502098095861,228.1943666934967,13459.287109375
df_creditcard,LDA,LogReg,0.9978436881993723,0.6142377853393555,17852.9765625
df_creditcard,LDA,GBC,0.9979231222950293,19.19919490814209,13420.279296875
