dataset,technique,model,f1_score,processing_time,memory_usage
df_iris,none,SVM,1.0,0.049889564514160156,71.9658203125
df_iris,none,MLP,0.9933333333333334,0.8861043453216553,205.5771484375
df_iris,none,Tree,0.9933471359558317,0.06648707389831543,74.3486328125
df_iris,none,KNN,0.9933333333333334,0.0700693130493164,116.619140625
df_iris,none,LogReg,0.9933333333333334,0.08411931991577148,173.0146484375
df_iris,none,GBC,1.0,2.1103975772857666,87.1923828125
df_iris,PCA,SVM,0.9733285763428178,0.04261970520019531,67.1220703125
df_iris,PCA,MLP,0.9800158828443658,0.8855018615722656,200.359375
df_iris,PCA,Tree,1.0,0.05237722396850586,70.44140625
df_iris,PCA,KNN,0.9933471359558317,0.07216858863830566,112.7529296875
df_iris,PCA,LogReg,0.9867011091240464,0.06465959548950195,146.81640625
df_iris,PCA,GBC,1.0,1.9166898727416992,84.3466796875
df_iris,IncPCA,SVM,0.9733285763428178,0.08342528343200684,71.916015625
df_iris,IncPCA,MLP,0.9866619096761511,0.8988862037658691,204.666015625
df_iris,IncPCA,Tree,1.0,0.08163976669311523,73.3359375
df_iris,IncPCA,KNN,0.9933471359558317,0.11642026901245117,116.5048828125
df_iris,IncPCA,LogReg,0.9867011091240464,0.09642243385314941,150.5322265625
df_iris,IncPCA,GBC,1.0,2.028292417526245,87.955078125
df_iris,NMF,SVM,0.9732951541494639,0.14167046546936035,241.6689453125
df_iris,NMF,MLP,0.9733217391304347,0.9561765193939209,375.0283203125
df_iris,NMF,Tree,0.9733728900255756,0.14967060089111328,244.1669921875
df_iris,NMF,KNN,0.959576422537826,0.17045998573303223,287.4970703125
df_iris,NMF,LogReg,0.9732951541494639,0.16682910919189453,324.7666015625
df_iris,NMF,GBC,0.9733728900255756,2.116342306137085,257.7744140625
df_iris,ICA,SVM,0.9933333333333334,0.06659102439880371,70.255859375
df_iris,ICA,MLP,1.0,0.8805820941925049,203.8291015625
df_iris,ICA,Tree,0.9800674234606124,0.06564188003540039,72.974609375
df_iris,ICA,KNN,0.9866452012383901,0.1000821590423584,115.7861328125
df_iris,ICA,LogReg,1.0,0.08880066871643066,156.1474609375
df_iris,ICA,GBC,0.9800674234606124,2.3111743927001953,89.7763671875
df_iris,LDA,SVM,1.0,0.06469893455505371,70.89453125
df_iris,LDA,MLP,0.9733920684063099,0.8834009170532227,202.580078125
df_iris,LDA,Tree,0.9932912280701753,0.0504305362701416,73.578125
df_iris,LDA,KNN,1.0,0.09652113914489746,115.8701171875
df_iris,LDA,LogReg,0.9800605862482292,0.10007262229919434,151.9296875
df_iris,LDA,GBC,0.9932912280701753,2.550485610961914,86.1416015625
df_heart,none,SVM,0.828555580767617,0.0834040641784668,152.8623046875
df_heart,none,MLP,0.8334918768116782,2.366528272628784,283.7958984375
df_heart,none,Tree,0.7886411545892764,0.06677007675170898,155.291015625
df_heart,none,KNN,0.8347883114871962,0.10027480125427246,197.857421875
df_heart,none,LogReg,0.8187721563932039,0.0832366943359375,360.421875
df_heart,none,GBC,0.8009350233587466,0.9854342937469482,159.58984375
df_heart,PCA,SVM,0.7057069036234686,0.051209211349487305,130.0
df_heart,PCA,MLP,0.6982960480093677,1.2948567867279053,131.7705078125
df_heart,PCA,Tree,0.6029543767564982,0.0689840316772461,132.5947265625
df_heart,PCA,KNN,0.6123919288715545,0.10017776489257812,175.083984375
df_heart,PCA,LogReg,0.6952179190791334,0.06633210182189941,241.1474609375
df_heart,PCA,GBC,0.6752064035715419,0.9534392356872559,136.109375
df_heart,IncPCA,SVM,0.7025280580002411,0.08421444892883301,132.5361328125
df_heart,IncPCA,MLP,0.6833961687661129,1.5335230827331543,135.4443359375
df_heart,IncPCA,Tree,0.6154268902460801,0.09985184669494629,134.830078125
df_heart,IncPCA,KNN,0.6123851521506706,0.13135766983032227,177.5517578125
df_heart,IncPCA,LogReg,0.6952179190791334,0.10002493858337402,238.220703125
df_heart,IncPCA,GBC,0.664777492293739,0.983436107635498,138.8466796875
df_heart,NMF,SVM,0.6790695673548612,0.1853952407836914,309.9677734375
df_heart,NMF,MLP,0.604178441662593,2.350368022918701,440.57421875
df_heart,NMF,Tree,0.5580385649657209,0.1847696304321289,312.50390625
df_heart,NMF,KNN,0.6472464979330136,0.23346352577209473,355.0009765625
df_heart,NMF,LogReg,0.6828575538861879,0.1998765468597412,438.486328125
df_heart,NMF,GBC,0.5748392036190326,1.3159592151641846,316.3916015625
df_heart,ICA,SVM,0.8030784225399126,0.28298330307006836,214.4736328125
df_heart,ICA,MLP,0.7931151893587953,2.5322117805480957,344.9228515625
df_heart,ICA,Tree,0.7406640202678149,0.2644481658935547,217.662109375
df_heart,ICA,KNN,0.7749456078036412,0.3181483745574951,228.568359375
df_heart,ICA,LogReg,0.7896610580592732,0.3163480758666992,245.1376953125
df_heart,ICA,GBC,0.7637039271036326,1.3831710815429688,221.1875
df_heart,LDA,SVM,0.8122568588967466,0.06541252136230469,124.947265625
df_heart,LDA,MLP,0.8128898019751759,1.197869062423706,129.126953125
df_heart,LDA,Tree,0.7631926265979254,0.0655221939086914,127.9697265625
df_heart,LDA,KNN,0.8039600519076361,0.10655903816223145,170.517578125
df_heart,LDA,LogReg,0.8161020606202092,0.06742668151855469,215.19921875
df_heart,LDA,GBC,0.7678316271432797,0.7998001575469971,131.3349609375
df_breast,none,SVM,0.9752964810182764,0.06850671768188477,331.46875
df_breast,none,MLP,0.978804841465444,3.318035840988159,461.869140625
df_breast,none,Tree,0.9262634071459047,0.13305878639221191,333.3408203125
